DATE,NASDAQCOM,Change
1971-09-20,109.99,-0.000999092
1971-09-21,109.82,-0.001545595
1971-09-22,108.99,-0.007557822
1971-09-23,108.8,-0.001743279
1971-09-24,108.88,0.000735294
1971-09-27,108.18,-0.006429096
1971-09-28,108.38,0.001848771
1971-09-29,108.6,0.002029895
1971-09-30,109.03,0.003959484
1971-10-01,109.58,0.005044483
1971-10-04,109.96,0.003467786
1971-10-05,109.99,0.000272826
1971-10-06,110.68,0.006273298
1971-10-07,110.98,0.002710517
1971-10-08,110.74,-0.002162552
1971-10-11,110.71,-0.000270905
1971-10-12,110.91,0.001806522
1971-10-13,110.69,-0.00198359
1971-10-14,109.87,-0.007408077
1971-10-15,109.6,-0.00245745
1971-10-18,109.06,-0.004927007
1971-10-19,107.99,-0.009811113
1971-10-20,106.58,-0.013056765
1971-10-21,106.61,0.000281479
1971-10-22,106.8,0.001782197
1971-10-25,106.29,-0.004775281
1971-10-26,105.69,-0.005644934
1971-10-27,104.28,-0.013340903
1971-10-28,104.5,0.002109705
1971-10-29,105.1,0.005741627
1971-11-01,103.69,-0.013415794
1971-11-02,103.54,-0.00144662
1971-11-03,105.01,0.014197412
1971-11-04,105.56,0.005237596
1971-11-05,105.46,-0.000947329
1971-11-08,105.43,-0.000284468
1971-11-09,105.72,0.00275064
1971-11-10,104.86,-0.008134695
1971-11-11,103.74,-0.010680908
1971-11-12,103.91,0.001638712
1971-11-15,103.44,-0.004523145
1971-11-16,103.71,0.002610209
1971-11-17,103.64,-0.000674959
1971-11-18,103.44,-0.001929757
1971-11-19,102.95,-0.004737046
1971-11-22,101.79,-0.011267606
1971-11-23,100.31,-0.014539739
1971-11-24,100.4,0.000897219
1971-11-25,100.4,0
1971-11-26,101.64,0.012350598
1971-11-29,103.08,0.014167651
1971-11-30,103.97,0.008634071
1971-12-01,105.06,0.010483793
1971-12-02,106.15,0.010375024
1971-12-03,107.26,0.010456901
1971-12-06,106.92,-0.003169868
1971-12-07,107.26,0.003179948
1971-12-08,107.71,0.004195413
1971-12-09,107.97,0.002413889
1971-12-10,108.81,0.007779939
1971-12-13,109.16,0.003216616
1971-12-14,109.07,-0.000824478
1971-12-15,109.45,0.003484001
1971-12-16,110.01,0.005116492
1971-12-17,110.52,0.004635942
1971-12-20,111.5,0.008867173
1971-12-21,111.73,0.00206278
1971-12-22,111.97,0.002148035
1971-12-23,111.94,-0.000267929
1971-12-24,111.94,0
1971-12-27,111.7,-0.002144006
1971-12-28,111.93,0.002059087
1971-12-29,112.57,0.005717859
1971-12-30,112.97,0.003553345
1971-12-31,114.12,0.010179694
1972-01-03,113.65,-0.004118472
1972-01-04,113.93,0.002463704
1972-01-05,114.83,0.007899587
1972-01-06,115.72,0.007750588
1972-01-07,116.05,0.002851711
1972-01-10,116.1,0.000430849
1972-01-11,116.64,0.004651163
1972-01-12,116.9,0.002229081
1972-01-13,116.42,-0.004106074
1972-01-14,116.74,0.002748669
1972-01-17,116.93,0.001627548
1972-01-18,117.66,0.006243051
1972-01-19,117.45,-0.001784804
1972-01-20,117.32,-0.001106854
1972-01-21,117.21,-0.000937607
1972-01-24,116.49,-0.006142821
1972-01-25,116.3,-0.001631041
1972-01-26,116.39,0.000773861
1972-01-27,117.37,0.008419967
1972-01-28,118.44,0.009116469
1972-01-31,118.87,0.00363053
1972-02-01,119.58,0.005972912
1972-02-02,120.47,0.007442716
1972-02-03,120.66,0.001577156
1972-02-04,121.24,0.004806895
1972-02-07,121.14,-0.00082481
1972-02-08,121.35,0.001733531
1972-02-09,122.16,0.006674907
1972-02-10,122.71,0.004502292
1972-02-11,122.86,0.001222394
1972-02-14,122.26,-0.004883607
1972-02-15,122.61,0.002862752
1972-02-16,123.35,0.006035397
1972-02-17,123.44,0.000729631
1972-02-18,123.4,-0.000324044
1972-02-21,123.4,0
1972-02-22,123.3,-0.000810373
1972-02-23,123.61,0.002514193
1972-02-24,124,0.003155085
1972-02-25,124.83,0.006693548
1972-02-28,124.94,0.000881198
1972-02-29,125.38,0.00352169
1972-03-01,126.29,0.007257936
1972-03-02,126.58,0.002296302
1972-03-03,127.19,0.004819087
1972-03-06,127.88,0.005424955
1972-03-07,127.83,-0.000390992
1972-03-08,128.4,0.004459047
1972-03-09,128.85,0.003504673
1972-03-10,128.55,-0.002328289
1972-03-13,127.34,-0.00941268
1972-03-14,127.73,0.003062667
1972-03-15,128.14,0.003209896
1972-03-16,127.77,-0.002887467
1972-03-17,128.01,0.001878375
1972-03-20,127.53,-0.003749707
1972-03-21,125.73,-0.014114326
1972-03-22,126.36,0.005010737
1972-03-23,127.38,0.008072175
1972-03-24,127.55,0.001334589
1972-03-27,127.56,7.84E-05
1972-03-28,127.72,0.001254312
1972-03-29,127.53,-0.001487629
1972-03-30,128.14,0.004783188
1972-03-31,128.14,0
1972-04-03,128.06,-0.000624317
1972-04-04,128.78,0.005622365
1972-04-05,130,0.009473521
1972-04-06,130.92,0.007076923
1972-04-07,131.8,0.006721662
1972-04-10,131.76,-0.00030349
1972-04-11,132.47,0.005388585
1972-04-12,133.17,0.005284215
1972-04-13,133.06,-0.000826012
1972-04-14,133.88,0.006162633
1972-04-17,133.74,-0.001045713
1972-04-18,134.1,0.00269179
1972-04-19,132.68,-0.010589113
1972-04-20,132.86,0.001356648
1972-04-21,133.01,0.001129008
1972-04-24,131.9,-0.008345237
1972-04-25,130.84,-0.008036391
1972-04-26,130.92,0.000611434
1972-04-27,131.01,0.000687443
1972-04-28,131.33,0.002442562
